name,postcode,latitude,longitude,URL
Buckbarn,RH13 8LW,50.991599,-0.341098,http://motorwayservices.uk/Buckbarn
Buckingham,MK18 1SH,51.990061,-0.977769,http://motorwayservices.uk/Buckingham
Buckland,SN7 8PY,51.679055,-1.487863,http://motorwayservices.uk/Buckland
Budbrooke,CV35 8RH,52.285257,-1.612329,http://motorwayservices.uk/Budbrooke
Burton-in-Kendal,LA6 1JF,54.179156,-2.733711,http://motorwayservices.uk/Burton-in-Kendal
Burtonwood,WA5 3AX,53.417246,-2.637953,http://motorwayservices.uk/Burtonwood
Caenby_Corner,LN8 2AS,53.393334,-0.54789,http://motorwayservices.uk/Caenby_Corner
Cairn_Lodge,ML11 0RJ,55.58572,-3.825562,http://motorwayservices.uk/Cairn_Lodge
Calcutt,SN6 6JR,51.638225,-1.837798,http://motorwayservices.uk/Calcutt
Caldo_Windle,WA10 6QY,53.469426,-2.774377,http://motorwayservices.uk/Caldo_Windle
Cambridge,CB23 4WU,52.268927,-0.008821,http://motorwayservices.uk/Cambridge
Canley_Ford,CV4 7BB,52.392037,-1.549544,http://motorwayservices.uk/Canley_Ford
Capelgate,IP9 2JJ,52.004929,1.05788,http://motorwayservices.uk/Capelgate
Carcroft,DN6 8LR,53.588555,-1.215502,http://motorwayservices.uk/Carcroft
Cardiff_Gate,CF23 8RA,51.539936,-3.130235,http://motorwayservices.uk/Cardiff_Gate
Cardiff_West,CF72 8SA,51.508527,-3.306801,http://motorwayservices.uk/Cardiff_West
Carland_Cross,TR8 5AY,50.346953,-5.025941,http://motorwayservices.uk/Carland_Cross
Carlisle_Truckstop,CA3 0JR,54.92835,-2.949064,http://motorwayservices.uk/Carlisle_Truckstop
Carnforth,LA5 9RQ,54.138446,-2.75771,http://motorwayservices.uk/Carnforth
Cartgate_Garage,TA14 6RA,50.96174,-2.751508,http://motorwayservices.uk/Cartgate_Garage
Cartgate_picnic_area,TA14 6RA,50.96174,-2.751508,http://motorwayservices.uk/Cartgate_picnic_area
Cawledge,NE66 2BF,55.398215,-1.692464,http://motorwayservices.uk/Cawledge
Caxton_Gibbet,CB23 3PD,52.230738,-0.114608,http://motorwayservices.uk/Caxton_Gibbet
Centurion,GL7 7JR,51.782007,-2.034192,http://motorwayservices.uk/Centurion
Charnock_Richard,PR7 5LR,53.629996,-2.692571,http://motorwayservices.uk/Charnock_Richard
Chelmsford,CM2 5PY,51.75494,0.518993,http://motorwayservices.uk/Chelmsford
Cherwell_Valley,OX27 7RD,51.95006,-1.199931,http://motorwayservices.uk/Cherwell_Valley
Chester,CH2 4QZ,53.268279,-2.802359,http://motorwayservices.uk/Chester
Chicklade,SP3 5ST,51.111017,-2.130499,http://motorwayservices.uk/Chicklade
Chieveley,RG18 9XX,51.450451,-1.309575,http://motorwayservices.uk/Chieveley
Chimes,BR6 7SE,51.345358,0.107909,http://motorwayservices.uk/Chimes
Chippenham_Pit_Stop,SN15 5LH,51.511877,-2.10498,http://motorwayservices.uk/Chippenham_Pit_Stop
Chippenham,SN14 6UY,51.478386,-2.129526,http://motorwayservices.uk/Chippenham
Chiverton_Cross,TR4 8HS,50.279384,-5.165736,http://motorwayservices.uk/Chiverton_Cross
Cirencester,GL7 5DS,51.724698,-1.951676,http://motorwayservices.uk/Cirencester
Clacket_Lane,TN16 2ER,51.27104,0.039848,http://motorwayservices.uk/Clacket_Lane
Coastways,YO43 3PN,53.874103,-0.701524,http://motorwayservices.uk/Coastways
Cobham_(A2),DA12 3BH,51.400914,0.40152,http://motorwayservices.uk/Cobham_(A2)
Cobham,KT11 3DB,51.304268,-0.405875,http://motorwayservices.uk/Cobham
Cohannon,BT71 6HJ,54.500667,-6.658127,http://motorwayservices.uk/Cohannon
Colchester,CO4 5HH,51.926541,0.895176,http://motorwayservices.uk/Colchester
Collin,DG1 3SE,55.068304,-3.554767,http://motorwayservices.uk/Collin
Collingtree,NN4 0JN,52.194487,-0.891688,http://motorwayservices.uk/Collingtree
Colsterworth,NG33 5JR,52.802303,-0.609887,http://motorwayservices.uk/Colsterworth
Colsterworth_(North),NG33 5JJ,52.806076,-0.613289,http://motorwayservices.uk/Colsterworth_(North)
Commerce_Park,BA11 2RY,51.24292,-2.291747,http://motorwayservices.uk/Commerce_Park
Coneygarth,DL7 9EG,54.311852,-1.568597,http://motorwayservices.uk/Coneygarth
Copdock,IP8 3TT,52.041015,1.099561,http://motorwayservices.uk/Copdock
Corley,CV7 8NR,52.471822,-1.546728,http://motorwayservices.uk/Corley
Cornwall,PL26 8UF,50.425987,-4.8158,http://motorwayservices.uk/Cornwall
Countess,SP4 7AS,51.179717,-1.782257,http://motorwayservices.uk/Countess
Country,PE8 6TZ,52.506973,-0.426394,http://motorwayservices.uk/Country
Cromwell,NG23 6JG,53.144224,-0.805111,http://motorwayservices.uk/Cromwell
Crossbush,BN17 7QQ,50.839958,-0.5419,http://motorwayservices.uk/Crossbush
Crossgates,LD1 6RE,52.273816,-3.330888,http://motorwayservices.uk/Crossgates
Cross_Hands,SA14 6RD,51.797565,-4.083697,http://motorwayservices.uk/Cross_Hands
Cullompton,EX15 1PA,50.857254,-3.37512,http://motorwayservices.uk/Cullompton
Daff-Y-Nant,HR9 6DW,51.849034,-2.667376,http://motorwayservices.uk/Daff-Y-Nant
Darrington,WF8 3HU,53.663263,-1.266021,http://motorwayservices.uk/Darrington
Darsham,IP17 3PW,52.274786,1.527116,http://motorwayservices.uk/Darsham
Deanshanger,MK19 6JU,52.042921,-0.886456,http://motorwayservices.uk/Deanshanger
Derby_and_Burton,DE65 6DX,52.863948,-1.564104,http://motorwayservices.uk/Derby_and_Burton
Derby_South,DE72 2WA,52.867856,-1.370986,http://motorwayservices.uk/Derby_South
Detling_Hill,ME14 3HT,51.301746,0.598862,http://motorwayservices.uk/Detling_Hill
Doddington,LN6 3SE,53.207205,-0.615057,http://motorwayservices.uk/Doddington
Dodwells,LE10 3ED,52.533283,-1.409383,http://motorwayservices.uk/Dodwells
Doncaster_(North),DN8 5GS,53.592151,-0.992325,http://motorwayservices.uk/Doncaster_(North)
Donington,DE74 2TN,52.82176,-1.308152,http://motorwayservices.uk/Donington
Dover_Port,CT16 1JA,51.129204,1.334821,http://motorwayservices.uk/Dover_Port
Dreghorn,EH13 9QR,55.901088,-3.232593,http://motorwayservices.uk/Dreghorn
Dublin_Road,BT35 8RL,54.121457,-6.353573,http://motorwayservices.uk/Dublin_Road
Ducklington,OX28 4TT,51.774351,-1.49248,http://motorwayservices.uk/Ducklington
Dumbarton_Gateway,G82 2TZ,55.935568,-4.516692,http://motorwayservices.uk/Dumbarton_Gateway
Dungannon,BT70 1AE,54.47979,-6.782159,http://motorwayservices.uk/Dungannon
Durham,DH6 5NP,54.727922,-1.523024,http://motorwayservices.uk/Durham
Eashing,GU7 2QG,51.186411,-0.648673,http://motorwayservices.uk/Eashing
Easington,SR7 8SS,54.802585,-1.359634,http://motorwayservices.uk/Easington
East_Horndon,CM13 3LL,51.579905,0.355577,http://motorwayservices.uk/East_Horndon
Elwick,TS27 3HH,54.655376,-1.303035,http://motorwayservices.uk/Elwick
Ely,CB6 3NN,52.390398,0.238684,http://motorwayservices.uk/Ely
Evesham,WR11 4TP,52.112044,-1.943843,http://motorwayservices.uk/Evesham
Exeter,EX2 7HF,50.71413,-3.4644,http://motorwayservices.uk/Exeter
Eye_Green,PE6 7TN,52.612507,-0.186807,http://motorwayservices.uk/Eye_Green
Eye,PE1 4BF,52.599728,-0.210785,http://motorwayservices.uk/Eye
Eynsham,OX29 4EN,51.788056,-1.366947,http://motorwayservices.uk/Eynsham
Fairfield,LN11 0WA,53.38319,-0.00755,http://motorwayservices.uk/Fairfield
Family_Farm,OX25 3QQ,51.850014,-1.229493,http://motorwayservices.uk/Family_Farm
Farlington,PO6 1UN,50.836181,-1.041313,http://motorwayservices.uk/Farlington
Farnham,GU9 8SS,51.215641,-0.789509,http://motorwayservices.uk/Farnham
Feering,CO5 9EL,51.852516,0.730889,http://motorwayservices.uk/Feering
Fenstanton,CB23 4LU,52.282938,-0.052014,http://motorwayservices.uk/Fenstanton
Ferrybridge,WF11 0AF,53.697602,-1.266666,http://motorwayservices.uk/Ferrybridge
Ferrymuir,EH30 9QZ,55.982798,-3.398868,http://motorwayservices.uk/Ferrymuir
Finavon,DD8 3QD,56.706808,-2.827899,http://motorwayservices.uk/Finavon
Fleet,GU51 1AA,51.295546,-0.855807,http://motorwayservices.uk/Fleet
Folkestone,CT21 4BL,51.094991,1.04408,http://motorwayservices.uk/Folkestone
Folly_Tower,NP4 0XB,51.692794,-3.021239,http://motorwayservices.uk/Folly_Tower
Fontwell,BN18 0SB,50.854564,-0.64726,http://motorwayservices.uk/Fontwell
Forthview,EH30 9YJ,55.984023,-3.406828,http://motorwayservices.uk/Forthview
Fosseway,NG12 2JU,52.916895,-1.008228,http://motorwayservices.uk/Fosseway
Foston,NG32 2JS,52.972297,-0.724196,http://motorwayservices.uk/Foston
Four_Pools,WR11 2UT,52.07749,-1.938341,http://motorwayservices.uk/Four_Pools
Fourwentways,CB21 6AP,52.126784,0.222478,http://motorwayservices.uk/Fourwentways
Frankley,B32 4AR,52.430009,-2.016583,http://motorwayservices.uk/Frankley
Frontier_Park,BB1 4AU,53.758495,-2.441187,http://motorwayservices.uk/Frontier_Park
Galleys_Corner,CM77 8GG,51.869309,0.581852,http://motorwayservices.uk/Galleys_Corner
Gate,ME13 9LN,51.289413,0.99572,http://motorwayservices.uk/Gate
Gateway,CH7 6HB,53.197766,-3.090834,http://motorwayservices.uk/Gateway
Gledrid,SY11 3EN,52.913627,-3.042888,http://motorwayservices.uk/Gledrid
Glenshane,BT46 5JZ,54.851055,-6.739531,http://motorwayservices.uk/Glenshane
Glinton,PE6 7JR,52.63772,-0.297906,http://motorwayservices.uk/Glinton
Gloucester,GL4 0DN,51.820244,-2.228629,http://motorwayservices.uk/Gloucester
Golden_Fleece,CA4 0AN,54.856406,-2.875933,http://motorwayservices.uk/Golden_Fleece
Gordano,BS20 7XG,51.477507,-2.707929,http://motorwayservices.uk/Gordano
Gowy,CH3 7HN,53.19839,-2.818193,http://motorwayservices.uk/Gowy
Grand_Dale,HU14 3HG,53.72458,-0.526065,http://motorwayservices.uk/Grand_Dale
Grange_Farm,NN4 0LY,52.193725,-0.891853,http://motorwayservices.uk/Grange_Farm
Grantham_North,NG32 2AB,52.950611,-0.677963,http://motorwayservices.uk/Grantham_North
Great_Dunmow,CM6 1SJ,51.869401,0.33571,http://motorwayservices.uk/Great_Dunmow
Great_Ponton,NG33 5DW,52.860576,-0.629876,http://motorwayservices.uk/Great_Ponton
Gretna,DG16 5HQ,55.010343,-3.084493,http://motorwayservices.uk/Gretna
Greystones,LA11 6RJ,54.234172,-2.861933,http://motorwayservices.uk/Greystones
Gristhwaite,YO7 3HN,54.197969,-1.362669,http://motorwayservices.uk/Gristhwaite
Halfway_House,SY5 9DU,52.699234,-2.968039,http://motorwayservices.uk/Halfway_House
Halt,LD1 6NN,52.260953,-3.497097,http://motorwayservices.uk/Halt
Hamilton,ML3 6JW,55.787109,-4.035104,http://motorwayservices.uk/Hamilton
Handcross,RH17 6BL,51.054781,-0.199348,http://motorwayservices.uk/Handcross
Harbledown,CT2 9AZ,51.287337,1.014747,http://motorwayservices.uk/Harbledown
Hardwicke,GL2 2RQ,51.805422,-2.290669,http://motorwayservices.uk/Hardwicke
Hartlebury,DY11 7XP,52.324581,-2.223886,http://motorwayservices.uk/Hartlebury
Hartshead_Moor,HD6 4JX,53.714327,-1.74646,http://motorwayservices.uk/Hartshead_Moor
Haydock_Island,WA12 0HL,53.472177,-2.635718,http://motorwayservices.uk/Haydock_Island
Hayle,TR27 5DG,50.197856,-5.395741,http://motorwayservices.uk/Hayle
Hazelgrove,BA22 7JE,51.029424,-2.572282,http://motorwayservices.uk/Hazelgrove
Heartlands,EH47 0TB,55.868614,-3.703131,http://motorwayservices.uk/Heartlands
Heart_of_Scotland,ML7 5TT,55.868472,-3.747481,http://motorwayservices.uk/Heart_of_Scotland
Heath,S44 5SF,53.200169,-1.342216,http://motorwayservices.uk/Heath
Heston,TW5 9NB,51.486656,-0.396126,http://motorwayservices.uk/Heston
Hickstead,RH17 5NZ,50.968407,-0.190427,http://motorwayservices.uk/Hickstead
High_Brough_Moor,DL10 6PB,54.428445,-1.668298,http://motorwayservices.uk/High_Brough_Moor
Hillsborough,BT26 6JA,54.443673,-6.11193,http://motorwayservices.uk/Hillsborough
Hilton_Park,WV11 2AT,52.64243,-2.054986,http://motorwayservices.uk/Hilton_Park
Hinckley,LE10 3ED,52.533283,-1.409383,http://motorwayservices.uk/Hinckley
Hogs_Back,GU10 1EU,51.225876,-0.726141,http://motorwayservices.uk/Hogs_Back
Honiton,EX14 1BQ,50.795585,-3.206498,http://motorwayservices.uk/Honiton
Hop_Oast,RH13 0AR,51.045285,-0.345674,http://motorwayservices.uk/Hop_Oast
Hopwood_Park,B48 7AU,52.363718,-1.945766,http://motorwayservices.uk/Hopwood_Park
Horsham,RH12 3NS,51.069794,-0.354206,http://motorwayservices.uk/Horsham
Hovefield,SS12 9HZ,51.590267,0.528397,http://motorwayservices.uk/Hovefield
Hull_West,HU14 3LN,53.723849,-0.482009,http://motorwayservices.uk/Hull_West
Ilminster,TA19 9PT,50.933958,-2.940705,http://motorwayservices.uk/Ilminster
Ingleby_Arncliffe,DL6 3JT,54.404842,-1.320214,http://motorwayservices.uk/Ingleby_Arncliffe
Ings,LA8 9PY,54.380245,-2.853198,http://motorwayservices.uk/Ings
Interchange,NG24 2DF,53.090306,-0.790774,http://motorwayservices.uk/Interchange
J29_Truckstop,S42 5SA,53.186766,-1.350518,http://motorwayservices.uk/J29_Truckstop
J38_Truckstop,CA10 3SS,54.43914,-2.593409,http://motorwayservices.uk/J38_Truckstop
Jeremys_Corner,RH17 5QD,51.012227,-0.199686,http://motorwayservices.uk/Jeremys_Corner
Jubilee,CT15 5FD,51.144533,1.330364,http://motorwayservices.uk/Jubilee
Keele,ST5 5HG,52.992774,-2.2909,http://motorwayservices.uk/Keele
Kennford,EX6 7UD,50.661252,-3.537292,http://motorwayservices.uk/Kennford
Kettering,NN14 1RW,52.380626,-0.730875,http://motorwayservices.uk/Kettering
Killington_Lake,LA8 0NW,54.313625,-2.635838,http://motorwayservices.uk/Killington_Lake
Kilmarnock,KA1 5LQ,55.597173,-4.471808,http://motorwayservices.uk/Kilmarnock
Kilmington_Cross,EX13 7RB,50.778866,-3.032253,http://motorwayservices.uk/Kilmington_Cross
Kincardine_Bridge,FK2 8PF,56.054018,-3.7587,http://motorwayservices.uk/Kincardine_Bridge
Kingsclere,RG20 4TA,51.334392,-1.256428,http://motorwayservices.uk/Kingsclere
Kingsham,PO19 8TH,50.826532,-0.778565,http://motorwayservices.uk/Kingsham
Kings_Lynn,PE34 3LW,52.744466,0.387058,http://motorwayservices.uk/Kings_Lynn
Kinmel_Park,LL18 5XW,53.267644,-3.517796,http://motorwayservices.uk/Kinmel_Park
Kinross,KY13 0NQ,56.208744,-3.443989,http://motorwayservices.uk/Kinross
Knutsford,WA16 0TL,53.300974,-2.400876,http://motorwayservices.uk/Knutsford
Lancaster,LA2 9DU,53.961645,-2.760582,http://motorwayservices.uk/Lancaster
Leeds_Skelton_Lake,LS9 0AS,53.772696,-1.471273,http://motorwayservices.uk/Leeds_Skelton_Lake
Leeming_Bar,DL8 1DT,54.298943,-1.566728,http://motorwayservices.uk/Leeming_Bar
Leicester_Forest_East,LE3 3GB,52.619002,-1.206122,http://motorwayservices.uk/Leicester_Forest_East
Leicester_North,LE4 3BT,52.690601,-1.127076,http://motorwayservices.uk/Leicester_North
Leigh_Delamere,SN14 6LB,51.511799,-2.158225,http://motorwayservices.uk/Leigh_Delamere
Lindisfarne,TD15 2PD,55.672265,-1.916948,http://motorwayservices.uk/Lindisfarne
Liphook,GU30 7TT,51.083813,-0.819147,http://motorwayservices.uk/Liphook
Lisburn,BT27 5SG,54.520365,-6.011489,http://motorwayservices.uk/Lisburn
Littleport,CB6 1JJ,52.461347,0.294769,http://motorwayservices.uk/Littleport
Llanddulas,LL22 8HH,53.289985,-3.642482,http://motorwayservices.uk/Llanddulas
Llanrhystud,SY23 5BT,52.303739,-4.14734,http://motorwayservices.uk/Llanrhystud
Locks_Garage,HR2 9AS,52.000695,-2.794567,http://motorwayservices.uk/Locks_Garage
Lomondgate,G82 2QU,55.957249,-4.560604,http://motorwayservices.uk/Lomondgate
London_Gateway,NW7 3HU,51.631339,-0.264336,http://motorwayservices.uk/London_Gateway
Luxmore,DN40 3BH,53.609106,-0.243374,http://motorwayservices.uk/Luxmore
Lymm,WA13 0SP,53.359117,-2.504454,http://motorwayservices.uk/Lymm
Macmerry,EH33 1EJ,55.956012,-2.866737,http://motorwayservices.uk/Macmerry
Magor,NP26 3YL,51.587529,-2.837544,http://motorwayservices.uk/Magor
Maidenhead,SL6 0AP,51.523031,-0.695151,http://motorwayservices.uk/Maidenhead
Maidstone,ME17 1SS,51.266597,0.613865,http://motorwayservices.uk/Maidstone
Mangrove,CV23 9LG,52.34435,-1.340604,http://motorwayservices.uk/Mangrove
Manor_Way,B62 8RJ,52.445782,-2.038541,http://motorwayservices.uk/Manor_Way
Maresfield,TN22 5EP,50.9888,0.090301,http://motorwayservices.uk/Maresfield
Market_Harborough,LE16 7FD,52.511046,-0.941523,http://motorwayservices.uk/Market_Harborough
Markfield,LE67 9PP,52.698084,-1.296974,http://motorwayservices.uk/Markfield
Markham_Moor,DN22 0QU,53.256809,-0.924971,http://motorwayservices.uk/Markham_Moor
Markham_Vale,S44 5HS,53.242369,-1.328667,http://motorwayservices.uk/Markham_Vale
Marston_Moretaine,MK43 0PP,52.047208,-0.548531,http://motorwayservices.uk/Marston_Moretaine
Martlesham_Heath,IP5 3RA,52.065514,1.27598,http://motorwayservices.uk/Martlesham_Heath
Medway,ME8 8PQ,51.341571,0.608165,http://motorwayservices.uk/Medway
Membury,RG17 7TZ,51.483486,-1.557179,http://motorwayservices.uk/Membury
